iter	Passed	Remaining
0	1	109
1	3	148
2	4	138
3	5	130
4	6	122
5	7	116
6	8	112
7	9	109
8	10	108
9	11	107
10	13	106
11	14	109
12	16	109
13	17	107
14	18	104
15	19	101
16	20	99
17	21	97
18	22	96
19	24	96
20	24	93
21	26	92
22	26	90
23	28	88
24	29	88
25	30	87
26	31	85
27	32	83
28	33	82
29	34	80
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	69
38	44	69
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	58	54
52	59	53
53	61	52
54	62	50
55	63	49
56	64	48
57	66	47
58	67	46
59	67	45
60	68	44
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	105	2
98	106	1
99	107	0
